0,1,2,3,4,5
1,-0.9968648898982337,-6750.0,"(0, 0)","[1000.           96.43         54.7         121.56          0.
    0.            0.           -3.0201952    -3.89805052   -5.55499629
   40.65247841   27.59544838   38.96655195  -78.17608186 -138.7288171
  -93.81217454   29.58642421   57.91226679   33.94085153]",[-1. -1. -1.]
1,-9.568403471746365,-6760.0,"(1, 1)","[1000.           96.43         54.7         121.56          0.
    0.            0.           -3.0201952    -3.89805052   -5.55499629
   40.65247841   27.59544838   38.96655195  -78.17608186 -138.7288171
  -93.81217454   29.58642421   57.91226679   33.94085153]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6760.0,"(0, 0)","[1000.           94.48         53.66        117.52          0.
    0.            0.           -3.04378265   -3.90107739   -5.64897311
   39.14494405   26.49918084   36.6070209   -93.46470574 -131.8267306
 -106.4059293    33.12155068   57.91226679   36.65447272]",[-0.62191117 -0.62191117 -0.62191117]
1,-9.568403471746365,-6770.0,"(1, 1)","[1000.           94.48         53.66        117.52          0.
    0.            0.           -3.04378265   -3.90107739   -5.64897311
   39.14494405   26.49918084   36.6070209   -93.46470574 -131.8267306
 -106.4059293    33.12155068   57.91226679   36.65447272]",[-0.62191117 -0.62191117 -0.62191117]
0,1,2,3,4,5
1,-0.9968648898982337,-6770.0,"(0, 0)","[1000.           96.35         54.11        121.87          0.
    0.            0.           -2.87840208   -3.82309471   -5.31121736
   41.30426399   27.78334022   40.612547    -77.147483   -119.8784388
  -85.96872617   28.20686774   59.74617172   28.4991357 ]",[-1. -1. -1.]
1,-9.568403471746365,-6780.0,"(1, 1)","[1000.           96.35         54.11        121.87          0.
    0.            0.           -2.87840208   -3.82309471   -5.31121736
   41.30426399   27.78334022   40.612547    -77.147483   -119.8784388
  -85.96872617   28.20686774   59.74617172   28.4991357 ]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6780.0,"(0, 0)","[1000.           96.6          54.38        123.61          0.
    0.            0.           -2.69608508   -3.69689068   -4.8472638
   41.59089459   28.55807739   42.12571549  -64.24932462 -102.2425515
  -60.38143379   25.18096325   57.85234172   17.25830427]",[-0.23182642 -0.23182642 -0.23182642]
1,-9.568403471746365,-6790.0,"(1, 1)","[1000.           96.6          54.38        123.61          0.
    0.            0.           -2.69608508   -3.69689068   -4.8472638
   41.59089459   28.55807739   42.12571549  -64.24932462 -102.2425515
  -60.38143379   25.18096325   57.85234172   17.25830427]",[-0.23182642 -0.23182642 -0.23182642]
0,1,2,3,4,5
1,-0.9968648898982337,-6790.0,"(0, 0)","[1000.           94.02         53.98        122.56          0.
    0.            0.           -2.72833148   -3.5877919    -4.51228863
   39.53004519   28.09613998   41.46616243  -86.21416001  -92.93780434
  -61.85088789   30.54516708   53.44833258   17.5080346 ]",[-1. -1. -1.]
1,-9.568403471746365,-6800.0,"(1, 1)","[1000.           94.02         53.98        122.56          0.
    0.            0.           -2.72833148   -3.5877919    -4.51228863
   39.53004519   28.09613998   41.46616243  -86.21416001  -92.93780434
  -61.85088789   30.54516708   53.44833258   17.5080346 ]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6800.0,"(0, 0)","[1000.           95.01         52.4         119.47          0.
    0.            0.           -2.64352929   -3.58746902   -4.44491733
   40.69649775   26.35423321   39.57962029  -88.21362494 -102.0155634
  -84.00251631   32.77767238   58.52463464   27.35226833]",[-0.46010917 -0.46010917 -0.46010917]
