0,1,2,3,4,5
1,-9.225622259418742,11259.58462767937,"(0, 0)","[2488.81808966   62.26250076   55.81000137 1490.          144.19000244
   21.84733391  126.79041195    0.            0.            0.
    0.           -4.89076133   -4.37526415   -3.50573372   -5.06340673
   -4.58655064   48.19434694   46.24257121   48.83345458   44.74512974
   46.99722702  -47.43388204  -65.29549119  -40.84634144  -79.10415887
  -70.53529196   10.92366123   18.65350154    4.44458488   18.24977344
   18.65350154]",[ 0.6907427 -1.        -1.        -1.        -1.       ]
1,-27.637545193496408,11089.243086186201,"(0, 0)","[2488.81808966   62.26250076   55.81000137 1490.          144.19000244
   21.84733391  126.79041195    0.            0.            0.
    0.           -4.89076133   -4.37526415   -3.50573372   -5.06340673
   -4.58655064   48.19434694   46.24257121   48.83345458   44.74512974
   46.99722702  -47.43388204  -65.29549119  -40.84634144  -79.10415887
  -70.53529196   10.92366123   18.65350154    4.44458488   18.24977344
   18.65350154]",[ 0.6907427 -1.        -1.        -1.        -1.       ]
0,1,2,3,4,5
1,-9.225622259418742,11089.243086186201,"(0, 0)","[2138.61587159   60.82249832   55.54000092 1487.          142.83000183
   21.08133316  132.40940189    0.            0.            0.
    0.           -3.79204806   -5.63401217   -6.58476861   -4.18215664
   -5.24982592   45.35082828   43.73005509   41.55807389   44.66723356
   42.12263723  -73.5634916  -114.20423606 -147.25869802  -92.56023239
 -132.4590155     8.58786911   22.26206679   29.89630913   13.72451221
   25.33806764]",[ 0.561899 -1.       -1.       -1.       -1.      ]
1,-27.637545193496408,11296.325284935156,"(0, 0)","[2138.61587159   60.82249832   55.54000092 1487.          142.83000183
   21.08133316  132.40940189    0.            0.            0.
    0.           -3.79204806   -5.63401217   -6.58476861   -4.18215664
   -5.24982592   45.35082828   43.73005509   41.55807389   44.66723356
   42.12263723  -73.5634916  -114.20423606 -147.25869802  -92.56023239
 -132.4590155     8.58786911   22.26206679   29.89630913   13.72451221
   25.33806764]",[ 0.561899 -1.       -1.       -1.       -1.      ]
0,1,2,3,4,5
1,-9.225622259418742,11296.325284935156,"(0, 0)","[1847.60255601   60.81499863   55.06000137 1493.19995117  144.61000061
   21.00066757  137.18925476    0.            0.            0.
    0.           -7.66943652   -7.66109541   -8.25631161   -7.97156255
   -8.08711317   40.35343201   44.17056603   41.04585108   42.27417443
   42.40054312 -196.550248   -102.67822555 -152.95080274 -158.6206066
 -142.52671335   40.02267596   21.78541142   33.22373935   33.02811765
   27.05928971]",[ 0.47798526 -1.         -1.         -1.         -1.        ]
1,-27.637545193496408,11819.041276836615,"(0, 0)","[1847.60255601   60.81499863   55.06000137 1493.19995117  144.61000061
   21.00066757  137.18925476    0.            0.            0.
    0.           -7.66943652   -7.66109541   -8.25631161   -7.97156255
   -8.08711317   40.35343201   44.17056603   41.04585108   42.27417443
   42.40054312 -196.550248   -102.67822555 -152.95080274 -158.6206066
 -142.52671335   40.02267596   21.78541142   33.22373935   33.02811765
   27.05928971]",[ 0.47798526 -1.         -1.         -1.         -1.        ]
0,1,2,3,4,5
1,-9.225622259418742,11819.041276836615,"(0, 0)","[1238.84441976   62.18999863   54.18000031 1511.40002441  143.36999512
   20.99466705  147.18925476    0.            0.            0.
    0.           -8.70354602   -8.06823561   -7.41751614   -9.00102559
   -8.48616201   40.82541097   43.20512003   44.2044737    40.68593823
   43.47245166 -155.17133752  -96.07101898  -69.64275467 -150.6737335
 -102.05281302   34.16896536   33.18402756   25.77817041   39.74211297
   33.18402756]",[ 1.        -0.5287839 -0.5287839 -0.5287839 -0.5287839]
